djentelmen	джентельмен
deklarasıa	декларация
tahaýı	тахауи
chadyra	чадыра
modeldi	модельді
trıatlon	триатлон
kúchedi	күчеді
TSh	ТШ
allahýákbar	аллаһуәкбар
avtosement	автоцемент
varıaqıa	вариақия
glotogenıalyq	глоттогениялық
qylshi	қыльші
gafel	гафель
ıodtandyryl	йодтандырыл
qabı-lııat	қаби-лииат
demobılızasıalaý	демобилизациялау
melıorasıalyq	мелиорациялық
mıgrasıa	миграция
dızeldi	дизельді
mýtasıalaný	мутациялану
traheıt	трахеит
týrıs	турист
rasıonalıstiń	рационалистің
ıláhım	илаһим
aparatýra	аппаратура
metalofon	металлофон
anderaıterleriniń	андеррайтерлерінің
aerodınamıkalyq	аэродинамикалық
elegıalyq	элегиялық
balondy	баллонды
nakkadaka-ıppon-ken	наккадака-иппон-кэн
ıntereri	интерьері
lısenzıasy	лицензиясы
ampýtasıa	ампутация
cherbaýyr	чербауыр
dılúsıasy	дилюциясы
replıkasıasy	репликациясы
fraksıa	фракция
frahtovatel	фрахтователь
bahadar	баһадар
mınıtrek	минитрэк
dıfýzıa	диффузия
konfesıaaralyq	конфессияаралық
aglútınatsıa	аглютинация
galvanokaýstıka	гальванокаустика
deflásıa	дефляция
dıalektologıa	диалектология
ınstıtýsıonalızasıa	институционализация
plazmolem	плазмолемма
adektıvti	адъективті
antısıklondy	антициклонды
elementar	элементар
tısa	тисса
bıllahı	биллаһи
borsovkalar	борцовкалар
jáshtıkah	жәштикаһ
ımıji	имиджі
ahdanııat	ахданийат
kardıoıda	кардиоида
sosıaldyq	социалдық
ıańqýlady	иаңқулады
afınasıa	аффинация
ınternasıonalızasıa	интернационализация
álmandın	альмандин
bálzamda	бальзамда
hansý	ханьсу
barchasyǵa	барчасыға
makroasembler	макроассемблер
ınternasıonalshy	интернационалшы
eksplozıalyq	эксплозиялық
dýalıstiń	дуалистің
apolon	аполлон
balastar	баластар
eklampsıa	эклампсия
popýlásıa	популяция
kontınýaldylyq	континуальдылық
kuqiǵy	кұқьіғы
premera	премьера
keskinińdiıtjalaǵyr	кескініңдіитжалағыр
rekvızısıalaý	реквизициялау
emansıpasıasy	эмансипациясы
astrodachık	астродатчик
shlápaly	шляпалы
profesorlyq-	профессорлық-
mýnısıpıaldyq	муниципиалдық
ensıklopedıalyq	энциклопедиялық
qachaly	қачалы
fahana	фаһана
akomodattaný	аккомодаттану
makroekonomıkalyq	макроэкономикалық
mobılızasıa	мобилизация
ıaryldy	иарылды
mınıatúralyq	миниатюралық
mıkroasambler	микроассамблер
charter	чартер
goasın	гоацин
elementke	элементке
nestorıanshyldyq	несторианшылдық
glotogenıa	глоттогения
avtoınspektor	автоинспектор
avıatozańdandyrý	авиатозаңдандыру
telestansıa	телестанция
lenchık	ленчик
ladıa	ладья
sımvolıster	символистер
ıaryndaq	иарындақ
safán	сафьян
komýtasıalanatyn	коммутацияланатын
kolokvıým	коллоквиум
perdıýan	пердиуан
kansellıng	канцеллинг
padshahlar	падшаһлар
assosıatıvtik	ассоциативтік
aıaqlaryǵa	айақларыға
gramatıkalan	грамматикалан
tushshy	тұщы
geoantıklınal	геоантиклиналь
emısıa	эмиссия
pálte	пальто
jıp	джип
terarıým	террариум
ıanlyq	ианлық
baptıstiń	баптистің
stolbnák	столбняк
sýbektıvızm	субъективизм
saldar	сальдар
proterozoı	протерозои
búırekchisi	бүйрекчісі
reformısik	реформистік
gýlbıshe	гульбище
aparat	аппарат
manýaldi	мануальді
chaqynda	чақында
kýllıat	куллиат
syqpyı	сықпыи
býlbkıl	бульбкиль
sýbetnıkalyq	субэтникалық
sýlfıdın	сульфидин
dıazoqosylys	диазоқосылыс
bilgeniche	білгеніче
ıarmaq	иармақ
transkrıpsıa	транскрипция
áýendeı	әуендеи
hazııa	хазйиа
haırıń	хайринг
asımılásıalaýshy	ассимиляциялаушы
armosementti	армоцементті
ınkýbasıa	инкубация
konvensıasy	конвенциясы
rasıonal	рационал
vıtáz	витязь
sýbýhııan	субухйиан
rentabeldi	рентабельді
reprezentasıa	репрезентация
korporasıa	корпорация
stıldik	стильдік
manıpýlásıalaý	манипуляциялау
sosıobıologıa	социобиология
modáldy	модальды
ınısıator	инициатор
megagers	мегагерц
gazıfıkasıalaý	газификациялау
ıngalátorıı	ингаляторий
sentımentalıster	сентименталистер
aberasıa	аберрация
ıneksıa	инъекция
últraúlken	ультраүлкен
eksport	экспорт
resenzıala	рецензияла
asosıasıalanýy	ассоциациялануы
sakápker	сакяпкер
pesımıster	пессимистер
sosıogramma	социограмма
ıazuqluǵ	иазұқлұғ
ırasıonalızm	иррационализм
aksentologıa	акцентология
sýbalpilik	субальпілік
ınternasıonalızmder	интернационализмдер
ıaǵlandy	иағланды
fantasty	фантасты
ofıser	офицер
láýhil	ләуһіл
koefısıenttik	коэффициенттік
bychyshdy	бычышды
baıahmet	байахмет
analgezıa	анальгезия
plas	пласт
eksporttyq	экспорттық
parhızgar	парһизгар
panıslamıs	панисламист
teplısa	теплица
rezolúsıa	резолюция
revolúsıoner-demokrat	революционер-демократ
qyrchylý	қырчылу
chettik	четтік
elıpsoıd	эллипсоид
dısertant	диссертант
genosıdtik	геноцидтік
mıneralızasıa	минерализация
evrıtmıa	эвритмия
osılogram	осциллограмма
avantúra	авантюра
antısıentızm	антисциентизм
sensýalıs	сенсуалист
konvergensıa	конвергенция
gravúralaý	гравюралау
aktórdeı	актёрдей
qumcheker	құмчекер
parabelým	парабеллум
demoralızasıa	деморализация
boıshas	бойшац
OShAMQ	ОШАМҚ
cherneý	чернеу
búdjetten	бюджеттен
beıapar	бейапар
dodekaedr	додекаэдр
dýnıadar	дунйадар
mýltımádenıet	мультимәдениет
eksportshy	экспортшы
sırkýlár	циркуляр
obektıvti	обьективті
aerodrom	аэродром
gıaloplazma	гиалоплазма
bálláhı	бәлләһи
taǵazıat	тағазиат
gıdroızobattar	гидроизобаттар
ıańzatty	иаңзатты
glotologıa	глоттология
ǵınaıat	ғинайат
chazanda	чазанда
saıası-moraldyq	саяси-моральдық
múhlat	мүһләт
gelıasher	гелиашер
ýasııat	уасйиат
alpystń	алпыстьң
barshına	барщина
cheldeý	челдеу
dıftoń	дифтонг
ızvestnák	известняк
rentabeldilik	рентабельділік
skalár	скаляр
dıabetık	диабетик
merıdıandyq	меридиандық
ólkaly	ёлкалы
badán	бадьян
shakaıat	шакайат
nýkıte	нукитэ
separasıalaý	сепарациялау
amonıt	аммонит
leıster	лейцтер
kasasyna	кассасына
esse	эссе
grıgorıan	григориан
ekspedısıa	экспедиция
ekvılıbrısti	эквилибристі
pıadeniń	пиаденің
ırrahım	ирраһим
ShK	ШК
mazhabtary	мазһабтары
ımperıalısik	империалистік
chaq-chúq	чақ-чүқ
byǵitý	бығьіту
anderaıterlik	андеррайтерлік
ShIK	ШИК
transaksıa	трансакция
elektrkardıografıa	электркардиография
qachqan	қачқан
telýr	теллур
sıez	съезд
rekýltıvasıalaý	рекультивациялау
zalbandtar	зальбандтар
konstrýksıalardyń	конструкциялардың
asıstentýra	ассистентура
namahram	намаһрам
annýlásıa	аннуляция
nıgılıster	нигилистер
fatalıstiń	фаталистің
ekskýrsıasy	экскурсиясы
sadıs	садист
samadııat	самадйиат
mıelosıt	миелоцит
antıkorozıalyq	антикоррозиялық
ıarsytty	иарсытты
sholastyń	схоластың
áýeıilený	әуеиілену
AÓİSShK	АӨІСШК
avantúrısti	авантюристі
selpo	сельпо
radıolokasıa	радиолокация
ekonomıa	экономия
avıaqurylys	авиақұрылыс
fılatelıster	филателистер
mıkrofılm	микрофильм
lokomobıl	локомобиль
aqtachy	ақтачы
ıývenıldi	ювенильді
asosıasıa	ассоциация
pýblısıster	публицистер
poezıalyq	поэзиялық
anapes	анапест
aksentter	акценттер
rasıonalda	рационалда
beıformaldy	бейформальды
emıgrant	эмигрант
bınakah	бинакаһ
dachıgi	датчигі
akkresıa	аккреция
medısınasy	медицинасы
lısenzıasyz	лицензиясыз
emerdjenttik	эмердженттік
aeroǵarysh	аэроғарыш
sardelka	сарделька
beıneeffekt	бейнеэффект
ınflúasıalyq	инфлюациялық
almaýı	алмауи
menshevıkter	меньшевиктер
motosıklsh	мотоциклш
gravúrala	гравюрала
sıtýasıa	ситуация
cheremıs	черемис
apart-otel	апарт-отель
ıntýıtıvızm	интуитивизм
snarád	снаряд
jdahat	ждаһат
áýesqoı	әуесқои
ShOZ	ШОЗ
fılokartısti	филокартисті
ısrahıl	исраһил
sıtatshyldyq	цитатшылдық
abattyq	аббаттық
machbol	матчбол
ıapshurdy	иапшұрды
rasıonalızasıalaý	рационализациялау
moraldyq	моральдық
daıaǵatshy	дайағатшы
baqaıaq	бақайақ
devıanttyq	девианттық
kartıńıst	картингист
generalısımýstyq	генералиссимустық
aptekar	аптекарь
rıznısa	ризница
slótshi	слётші
bıhraq	биһрақ
akordeon	аккордеон
quıutty	құиұтты
regenerasıa	регенерация
áshekeıletý	әшекеилету
jaýharlaý	жауһарлау
bısepsi	бицепсі
razrádty	разрядты
áıel-erkek	әиел-еркек
radısti	радисті
motosıklet	мотоциклет
ábtehı	әбтеһи
klasıkalyq	классикалық
doırashy	доирашы
sháhıdtiń	шәһидтің
leıborıstiń	лейбористің
sıatyǵa	сиатыға
dárgahyna	дәргаһына
lısenzıalaý	лицензиялау
kavalerıster	кавалеристер
lıofılızasıa	лиофилизация
mamolog	маммолог
sosıalızasıalap	социализациялап
magıstraldi	магистральді
ıamaldy	иамалды
sanasıa	санация
yıyndy	ыиынды
demarkasıa	демаркация
ımıj	имидж
sýperkompúter	суперкомпьютер
túıamýnıt	тюямунит
lansetnıkter	ланцетниктер
ındýksıalyq	индукциялық
jahanǵa	жаһанға
dárkáh	дәркәһ
renesanstyq	ренессанстық
jahandas	жаһандас
assosıatıvti	ассоциативті
ınovasıalardy	инновацияларды
aerostat	аэростат
velárlaný	велярлану
rekapıtýlásıa	рекапитуляция
hıdaıat	һидаят
hýqqaan	һуққаан
ınterıadsylyq	интериадцылық
sekúrıtılendirý	секьюритилендіру
chyraǵymyz	чырағымыз
múttáhám	мүттәһәм
sýlfoqyshqyldar	сульфоқышқылдар
vıolonchel	виолончель
ıaýyqdaǵy	иауықдағы
geterosıkldi	гетероциклді
nıgılıstik	нигилистік
formasıa	формация
sepahı	сепаһи
tynshidy	тыншьіды
ıaǵyrlandy	иағырланды
oppózısıa	оппөзиция
mıllıardtyq	миллиардтық
elınızm	эллинизм
sýlfıdtegish	сульфидтегіш
medalón	медальон
orıańqyt	орйаңқыт
búrokrattaný	бюрократтану
pilláıirgishter	пілләиіргіштер
alúmını	алюминий
hasııat	хасийат
abstraksıaly	абстракциялы
muntahı	мұнтаһи
aglomerasıalyq	агломерациялық
ınvarıanttyq	инварианттық
ımpıchmenttik	импичменттік
mashtahat	маштаһат
altynnsh	алтынньщ
qarchyǵa	қарчыға
desorbsıalaý	десорбциялау
golandyq	голландық
morzısti	морзисті
qaharatta	қаһаратта
asosıasıalan	ассоциациялан
dárkoh	даркоһ
kósilsiz	көцілсіз
ovcharka	овчарка
kúltıvasıalyq	культивациялық
ýasaıat	уасайат
holdıń	холдинг
mıllıardshy	миллиардшы
dıfferensıaldaý	дифференциалдау
ıaǵudy	иағұды
kálkýlásıalyq	калькуляциялық
ıtalán	итальян
ıatǵanlarny	иатғанларны
dıasporataný	диаспоратану
endemıa	эндемия
alpenshtok	альпеншток
kınaıa	кинайа
padshahdyn	падшаһдын
vólt-amperlik	вольт-амперлік
jırochek	жирочек
ásirematerıalıstik	әсірематериалистік
maltýsshildik	мальтусшілдік
qıblagah	қиблагаһ
toquzlanchysy	тоқұзланчысы
ekotoksıkologıa	экотоксикология
apendısıt	аппендицит
jentlmendik	джентльмендік
aýispaý	ауьіспау
sapropel	сапропель
sholastık	схоластик
gallıı	галлии
ıodtandyr	йодтандыр
sváshennık	священник
aksıaǵa	акцияға
elektrkoagýlásıa	электркоагуляция
pres-búro	пресс-бюро
chyrǵanaq	чырғанақ
neoserebelým	неоцеребеллум
stılısıka	стилистика
mazhapy	мазһапы
yńyrchaq	ыңырчақ
proteksıonızm	протекционизм
alergodıagnostıka	аллергодиагностика
AShQQQ	АШҚҚҚ
redaksıala	редакцияла
brýsá	брусья
ıastıl	иастил
alergolog	аллерголог
seıtnot	цейтнот
dýalısti	дуалисті
ıntegrasıalan	интеграциялан
merserızasıala	мерсеризацияла
kıkboksıń	кикбоксинг
ıanashyb	ианашыб
prosestiń	процестің
fonetıster	фонетистер
dırıjabl	дирижабль
nagahan	нәгаһан
kapıtalıster	капиталистер
eksponensıaldy	экспоненциалды
ergejeı	ергежеи
eýrovalúta	еуровалюта
konsesıa	концессия
charlab	чарлаб
buhtan	бұһтан
balastyń	балластың
aerozol	аэрозоль
kýbraýııa	кубрауийа
dıfferensıaldy	дифференциалды
gerbasýlfan	гербасульфан
lager	лагерь
shahmardan	шаһмардан
mınımalıster	минималистер
kapúshon	капюшон
búdjetteri	бюджеттері
proses	процесс
peızajısti	пейзажисті
ıdentıfıkasıa	идентификация
terakota	терракота
krester	крестер
gımnazısti	гимназисті
aktıvızasıa	активизация
chabyna	чабына
lápıs	ляпис
ıazyshdy	иазышды
prısep	прицеп
akýzatıv	аккузатив
domısılıant	домицилиант
monokýlárlik	монокулярлық
qurylymdyq-formasıalyq	құрылымдық-формациялық
zarádti	зарядты
baronesa	баронесса
dıfýzıalan	диффузиялан
radıasıaly	радиациялы
ıntýısıonıster	интуиционистер
qoeffısı	қоэффици
chaban-chalaǵaı	чабан-чалағай
TÚKSh	ТҮКШ
fonetıstiń	фонетистің
ashshysyný	ащысыну
metalýrgıasy	металлургиясы
kongres	конгресс
fılıt	филлит
eskapızm	эскапизм
golosen	голоцен
maýlaýııa	маулауийа
jersı	джерси
mýzaııan	музайиан
operasıa	операция
ıaǵylady	иағылады
beıhush	бейһүш
paparassı	папарацци
dıferensıasıa	дифференциация
ımmýnodıagnostıkalyq	иммунодиагностикалық
nahanı	наһани
pecheneg	печенег
dıalız	диализ
margansovka	марганцовка
qulachyny	құлачыны
pasıonarlyq	пассионарлық
ıańylǵan	иаңылған
ıyǵachlandy	иығачланды
monokrıstal	монокристалл
mıtıńileý	митингілеу
dıstansıometr	дистанциометр
chalǵysh	чалғыш
tıamın	тиамин
chapqanda	чапқанда
naqshbandııa	нақшбандийа
ıasadylar	иасадылар
mınıatúra	миниатюра
modernıs	модернист
stılısti	стилисті
patrıarhat	патриархат
ıaýlab	иаулаб
sqemasy	схемасы
ıantar	янтарь
rassolnık	рассольник
ıaıylǵanda	иайылғанда
neoslavánfılder	неославянфилдер
natýralıstiń	натуралистің
ınterpretasıalaný	интерпретациялану
repetısıa	репетиция
daıardaý	дайардау
pýssolandar	пуццоландар
kogerensıa	когеренция
gonosıt	гоноцит
kondısıalaý	кондициялау
ıntegrasıalyq	интеграциялық
neıropsıhıatrıa	нейропсихиатрия
resıdıvıs	рецидивист
ızobýtılasıtat	изобутилацитат
asbesıt	асбестит
elektrondyq	электрондық
strýktýralıs	структуралист
eksplıkasıa	экспликация
gramm-mól	грамм-моль
aksel	аксель
bashchysy	башчысы
bonıfıkasıa	бонификация
beıaıyp	бейайып
leıkopoez	лейкопоэз
orfogram	орфограмма
vasal	вассал
potensıaldyq	потенциалдық
antırevolúsıalyq	антиреволюциялық
konservasıalaý	консервациялау
olımpıadalar	олимпиадалар
asteroıd	астероид
oqytýdaǵi	оқытудағьі
ımýnıteti	иммунитеті
biryshǵaı	бірыщғай
mıllıarder	миллиардер
ashylat	ащылат
muntaha	мұнтаһа
pýnktýasıalyq	пунктуациялық
fıkschúr	фиксчюр
glıserın	глицерин
aktıvıster	активистер
yjdahat	ыждаһат
tasnıat	тасниат
AShM	АШМ
alpy-solpylq	алпы-солпыльқ
padıshah	падишаһ
tradeskansıa	традесканция
tájýıd	тәжуид
álıakpar	әлиакпар
anchoýs	анчоус
ýez	уезд
mehanızasıala	механизацияла
sýksessıa	сукцессия
mehman	меһман
barer	барьер
ıazturdy	иазтұрды
chulǵaný	чұлғану
monarhıstiń	монархистің
chiledi	чіледі
kishiche	кішіче
moıyncha	мойынча
ıafǵanlandy	иафғанланды
koleksıala	коллекцияла
chıanpý	чианпу
materıaldy	материалды
asbahanı	асбаһани
sıentızm-antısıentızm	сциентизм-антисциентизм
ıdarıýısh	идариуиш
jahannamǵa	жаһаннамға
opozısıashyl	оппозицияшыл
baler	баллер
profesýra	профессура
asambleıa	ассамблея
monogram	монограма
últımatým	ультиматум
dısımılásıalan	диссимиляциялан
merıdıany	меридианы
ShRSh	ШРШ
hechnemeden	һечнемеден
ıkosaedr	икосаэдр
jipcheleń	жіпчелең
vakým	вакуум
operasıalarynyń	операцияларының
jahuttaı	жаһұттай
sanchyshyb	санчышыб
chertti	чертті
valútalyq	валюталық
taıanǵan	тайанған
dıafınometr	диафинометр
gıdroızol	гидроизол
globalızasıa	глобализация
taıszı	тайцзи
ahylap-úhile	аһылап-үһіле
býkınıstiń	букинистің
eksperımenti	эксперименті
ekvatorlyq	экваторлық
mehanızasıalaný	механизациялану
translıterasıa	транслитерация
gıpermedıalyq	гипермедиалық
varıaqıala	вариақияла
mılıtarıstik	милитаристік
oportýnıstik	оппортунистік
zahabııa	захабийа
ıaltyraq	иалтырақ
ıjdahattylyq	иждаһаттылық
oblıgasıalary	облигациялары
zelýche	зелуче
obektiniń	объектінің
kókýsınkaı	кёкусинкай
AÓSShK	АӨСШК
ıaǵmady	иағмады
rotasıa	ротация
shahımaran	шаһимаран
shovınıs	шовинист
sýbektileri	субъектілері
mıkroekonomıka	микроэкономика
solıstiń	солистің
karategı	каратэги
ashshylaý	ащылау
ýrbaekologıa	урбаэкология
ichteme	ічтеме
termokars	термокарст
panıslamısti	панисламисті
chal-chabyr	чал-чабыр
sosıalıster	социалистер
reaksıalar	реакциялар
sentner	центнер
ınovasıa	инновация
tranzaksıalyq	транзакциялық
gramem	граммема
ımmelman	иммельман
generalısımýs	генералиссимус
muıanshylyq	мұйаншылық
oportýnısti	оппортунисті
bıll-brokerler	билль-брокерлер
konsaltıń	консалтинг
amınaǵacha	аминағача
ıaýrǵan	иаурған
deklorasıasy	деклорациясы
chaqalaq	чақалақ
tushshylandyrý	тұщыландыру
ochaqynyń	очақының
spıráldy	спиральды
chahshaq	чахшақ
kálkalyq	калькалық
mýson	муссон
armosement	армоцемент
bádeýı	бәдеуи
ıýhıbbýnahý	йухиббунаһу
generalızasıa	генерализация
farıad	фәрйад
aeroport	аэропорт
ıazyldy	иазылды
nervúrli	нервюрлі
hárzıa	һәрзия
ıarashub	иарашұб
metaetıka	метаэтика
sıalyq	циялық
optımısti	оптимисті
chyıratpa	чыйратпа
sessıoner	цессионер
personıfıkasıa	персонификация
masnaýı	мәснәуи
kapsýn	капцун
ıý	ию
ıakandoz	иакандоз
dıýanalyq	диуаналық
sııahat	сийахат
manıkúrly	маникюрлы
búıirjúıkeliler	бүйіржүикелілер
adverbıaldan	адвербиалдан
kresti	кресті
konsesıalyq	концессиялық
kazeındi	казеинді
hıjran	һижран
long-pozısıa	лонг-позиция
ınaıat	инайат
qaharlylyq	қаһарлылық
dızrýpsıa	дизрупция
býnchýk	бунчук
epıstolárlyq	эпистолярлық
mılısıa	милиция
epıdemıologıa	эпидемиология
ıapchurdy	иапчұрды
elızıa	элизия
akropol	акрополь
mıeloblastyń	миелобластың
sedımentasıa	седиментация
ıalqdy	иалқды
restavrasıa	реставрация
charuqlady	чарұқлады
karkade	каркадэ
volastonıt	волластонит
neandertal	неандерталь
dezınfeksıalan	дезинфекциялан
monokl	монокль
dempıńilik	демпингілік
manıpýlásıa	манипуляция
bızan	бизань
eklektıka	эклектика
levomısıtın	левомицитин
emıgrasıa	эмиграция
sechenov	сеченов
medıabilim	медиабілім
moral	мораль
fotoaparat	фотоаппарат
tıranozavr	тираннозавр
gımnazıs	гимназист
daktıldik	дактильдік
patrúli	патрулі
dempıń	демпинг
blúmıń	блюминг
asfáltty	асфальтты
masnaýıat	маснауиат
sýdıalar	судьялар
kaýchýk	каучук
hámsıa	һәмсия
karerlik	карьерлік
verbalızasıa	вербализация
fasıa	фация
qulqin	құлқьін
elektronıka	электроника
zýrrıat	зурриат
deklarasıalamaý	декларацияламау
emúlgırlený	эмульгирлену
devalvasıalaný	девальвациялану
vıse-prezıdent	вице-президент
asbestiń	асбестің
modýlder	модульдер
gıadtar	гиадтар
semályq	семьялық
haftým	һафтум
májilisqat	мәжілісхат
chálkemdeý	чәлкемдеу
gýhgýh	гуһгуһ
týǵıan	туғйан
dekolte	декольте
jahıtshildik	жаһитшілдік
ıshshaı-aı	ищай-ай
máńzisin	мяңзісін
búh-búh	бүһ-бүһ
monosentrızm	моноцентризм
ıntýısıasy	интуициясы
AQSh	АҚШ
trúk	трюк
apendıkýlárıa	аппендикулярия
monıs	монист
qaharmandaı	қаһармандай
entomolog	энтомолог
sanksıalar	санкциялар
mınıatúrshyldyq	миниатюршылдық
relátıvıstik	релятивистік
valter	вальтер
selmag	сельмаг
emchekden	емчекден
ıllahı	иллаһи
general-adútant	генерал-адъютант
ıntýbasıa	интубация
haýasy	һауасы
panteızm	пантеизм
jýrnalısik	журналистік
shası	шасси
halýatııa	халуатийа
sekýlárızm	секуляризм
fevral	февраль
zaharyn	заһарын
kartıń	картинг
kichikke	кічікке
dıetıfen	диэтифен
brıfıń	брифинг
rekvızısıalan	реквизициялан
výlgarlyq	вульгарлық
ınjınırıńtik	инжинирингтік
rekonstrýksıa	реконструкция
mútahı	мүтаһи
babıt	баббит
ǵazalıat	ғазалиат
operasıalar	операциялар
jıhankezdik	жиһанкездік
reparasıa	репарация
asımılásıalaý	ассимиляциялау
eteraz	этераз
qaharlyraq	қаһарлырақ
evapotranspırasıa	эвапотранспирация
ınteroreseptorlyq	интерорецепторлық
adverbıaldaný	адвербиалдану
búletende	бюллетеньде
ensıklopedıashy	энциклопедияшы
ShMOS	ШМОС
senor	сеньор
korák	коряк
búldozershi	бульдозерші
eýropasentrızm	еуропацентризм
dıfferensıal	дифференциал
chekıs	чекист
admınıstrasıa	администрация
rıýaıt	риуайт
alergologıa	аллергология
elegıstiń	элегистің
chyńratty	чыңратты
modıfıkasıa	модификация
ındıan	индиан
kafelshi	кафельші
sújetsizdik	сюжетсіздік
proporsıaly	пропорциялы
laǵyl-jahut	лағыл-жаһұт
deformasıasy	деформациясы
chesnok	чеснок
hılıazm	хилиазм
anderaıterler	андеррайтерлер
anapestiń	анапестің
akordeonıst	аккордеонист
nahaıatsyz	наһайатсыз
aýksıonshy	аукционшы
ıpodrom	ипподром
trıýmfator	триумфатор
ıllúzıonıst	иллюзионист
medıakeńistik	медиакеңістік
anteıdeı	антеидей
akselerasıa	акселерация
el-ıstıhsan	эл-истихсан
bahadúr	баһадүр
ekskýrsıa	экскурсия
ınterpellásıa	интерпелляция
beıbahra	бейбаһра
týrısti	туристі
aerobıka	аэробика
gerıatrıa	гериатрия
kartofel	картофель
ıaǵushdy	иағұшды
regenerasıalaý	регенерациялау
paıýandaý	пайуандау
bırúza	бирюза
brýselez	бруцеллез
búldog	бульдог
bronhektaz	бронхэктаз
oportýnıs	оппортунист
frontırýıýshaıa	фронтирующая
ıaılaǵ	иайлағ
mıtıńiletý	митингілету
sosıalısik	социалистік
teıtildi	теитілді
chaldrady	чалдрады
akvarıýmshy	аквариумшы
depersonalızasıa	деперсонализация
dezınseksıalyq	дезинсекциялық
ýtopıs	утопист
bronenoses	броненосец
chyqaryń	чықарың
padshahny	падшаһны
aksızdeletin	акцизделетін
kúrıan	күриан
plasılın	пластилин
karate-do	каратэ-до
aljııat	алжийат
beınekonferensıa	бейнеконференция
elementterdi	элементтерді
qychqyra	қычқыра
evfemızm	эвфемизм
ǴTSh	ҒТШ
manıfesasıa	манифестация
tóhmát	төһмәт
trıada	триада
gıalýron	гиалурон
avıakompanıa	авиакомпания
potensıal	потенциал
kraspısa	краспица
ıapuldy	иапұлды
adektıvten	адъективтен
monopolıstiń	монополистің
hasteloı	хастеллой
FShShSh	ФШШШ
chylaýjyn	чылаужын
ashshylaýyt	ащылауыт
notıfıkasıa	нотификация
baseın	бассейн
ıshtıha	иштиһа
geıdelberg	гейдельберг
máshhúr-júsip	мәшһүр-жүсіп
alveola	альвеола
krımınalıstik	криминалистік
tálk	тальк
sanksıa	санкция
okýlıster	окулистер
kabeldi	кабельді
bezinch	безінч
ekstrapolásıa	экстраполяция
qıatrlandyrý	қиатрландыру
pavılon	павильон
sındıkalısti	синдикалисті
lúk	люк
evakýasıalaný	эвакуациялану
ıýda-qıý	июда-қию
kelgúnche	келгүнче
jahankesh	жаһанкеш
chımaı-chytpyryq	чимай-чытпырық
mebel	мебель
chekısti	чекисті
chımaldaý	чималдау
aeroádis	аэроәдіс
gımnazıska	гимназистка
malma	мальма
quchushdy	құчұшды
razrádshi	разрядшы
dıatermokoagýlásıa	диатермокоагуляция
kýahayq	куаһаық
ıatmaı	иатмай
natýralıster	натуралистер
chyǵyrlldy	чығырллды
resenzıa	рецензия
kodıfıkasıalaný	кодификациялану
súıinchi	сүйінчі
moh-mohyla	моһ-моһыла
fatalıster	фаталистер
laýegram	лауэграмма
solushdy	солұщды
mıgren	мигрень
atraksıon	аттракцион
pýblısısti	публицисті
stansıasy	станциясы
kúlmınasıa	кульминация
redaqsıa	редақция
ıalǵandurdy	иалғандұрды
terorızm	терроризм
rejısýralyq	режиссуралық
aıaqynyń	айақының
gólf	гольф
gantel	гантель
kapýsınder	капуциндер
chıngal	чингал
rekta-veksel	ректа-вексель
abberasıasy	абберациясы
forpostyń	форпостың
ılúmınasıa	иллюминация
telekonferensıa	телеконференция
plash-palatka	плащ-палатка
lúktik	люктік
dýnııa	дунйиа
banderól	бандероль
chıratpa	чиратпа
búdjetterdiń	бюджеттердің
datagram	датаграмма
denıtrıfıkasıa	денитрификация
tezovrasıasy	тезоврациясы
amálgamalaý	амальгамалау
anýıtet	аннуитет
fýnksıasy	функциясы
quıaqly	құйақлы
aıdaharlyq	айдаһарлық
konvensıa	конвенция
baseıni	бассейні
transmısıa	трансмиссия
ál-mahdı	әл-маһди
oktábr	октябрь
denýdasıalyq	денудациялық
eksternat	экстернат
glotogenez	глоттогенез
gýslár	гусляр
elchileshtiler	елчілештілер
QR SJShİA	ҚР СЖШІА
barıkadala	баррикадала
zıarat	зиарат
UQSh	ҰҚШ
ındýksıalaý	индукциялау
sýblımasıa	сублимация
ıabylyb	иабылыб
hqaqlandy	һқақланды
algologıa	альгология
prınsıptilik	принциптілік
atestattaý	аттестаттау
vakýmmetrıa	вакуумметрия
devalvasıa	девальвация
beıýaqyt	бейуақыт
kapsúl-denotator	капсюль-денотатор
shınshıla	шиншилла
amınoplastyń	аминопластың
demobılızasıalyq	демобилизациялық
ashshylatý	ащылату
gachetıt	гачетит
balon	баллон
besıar	бесиар
polústeý	полюстеу
k-matrısalyq	к-матрицалық
apelsın	апельсин
blok-sqema	блок-схема
gorelef	горельеф
medısınalyq-pedagogtik	медициналық-педагогтік
býdılnık	будильник
jadeıt	жадеит
metalogenıa	металлогения
kalseks	кальцекс
karerany	карьераны
denasıonolızasıa	денационолизация
qamchylab	қамчылаб
charlaý	чарлау
sýbordınasıa	субординация
elektr	электр
ırrıgasıa	ирригация
rasıonalızm	рационализм
ıahýdı	яһуди
mahıs	махист
dórhaı	дөрһай
ıarady	иарады
jahalat	жәһәләт
radıolokasıalaý	радиолокациялау
pozısıasy	позициясы
mobılızasıalaý	мобилизациялау
mıkroprosesor	микропроцессор
sábıdeı	сәбидеи
delımıtasıalaý	делимитациялау
promýlgasıa	промульгация
gıdrolokasıa	гидролокация
jaýharly	жауһарлы
shasyrqaý	шацырқау
dárgahynan	дәргаһынан
